brand,perfume,notes
xerjoff,accento-overdose-pride-edition,fruity notes aldehydes green notes bulgarian rose egyptian jasmine lily-of-the-valley eucalyptus pine
jean-paul-gaultier,classique-pride-2024,yuzu citruses orange blossom neroli musk blonde woods
jean-paul-gaultier,classique-pride-2023,blood orange yuzu neroli orange blossom musk white woods
bruno-banani,pride-edition-man,guarana grapefruit red apple walnut lavender guava vetiver benzoin amber
jean-paul-gaultier,le-male-pride-collector,mint lavender cardamom artemisia bergamot caraway cinnamon orange blossom vanilla sandalwood amber cedar tonka bean
jean-paul-gaultier,le-male-pride-2023,yuzu blood orange neroli orange blossom musk white woods
jean-paul-gaultier,le-male-pride-2024,citruses yuzu neroli orange blossom woodsy notes musk
ralph-lauren,polo-red-pride-edition,cranberry pink grapefruit citron clary sage lavender saffron amberwood brazilian redwood coffee
ralph-lauren,ralph-pride-edition,tangerine green apple freesia magnolia lime (linden blossom) osmanthus musk white iris
we-pink,waffle,strawberry almond raspberry butter peach blossom violet praline vanilla musk
jean-paul-gaultier,le-male-pride-edition,blood orange yuzu neroli orange blossom musk white woods
vivamor-parfums,rouge-imperiale,saffron bulgarian rose australian sandalwood iris jasmine suede bourbon vanilla texas cedar
brocard,cherry-lady,watermelon mango papaya pineapple peach lemon lotus hibiscus musk sandalwood amber
bybozo,french-kiss,lemon verbena neroli fig corn magnolia saffron barberry cherry blossom pear wood meringue amber
sospiro-perfumes,erba-oud,orange bergamot lemon melon saffron peach apple agarwood (oud) leather vanilla amber white musk
trump,donald-trump,cucumber black basil mint citruses spicy notes pepper herbal notes woody notes spicy notes exotic woods vetiver
rook-perfumes,school,concrete woody notes ozonic notes moss rubber paper olibanum coffee cedar
o-boticario,glamour-gold-glam,raspberry neroli bergamot jasmine orange blossom tuberose clearwood amber sandalwood patchouli cistus incanus
clean,clean-simply-soap,bergamot frangipani lotus violet rose musk
michael-malul-london,visionair-midnight-blue,watermelon lavender bergamot lotus jasmine musk sandalwood amber
o-boticario,malbec-sport,nutmeg cardamom lime bergamot mandarin orange juniper lavender geranium head space waterfall sage leather patchouli sandalwood musk amber cedar moss vetiver tonka bean
filippo-sorcinelli,cyber-sex,juniper berries pink grapefruit mandarin orange neroli rosemary spices cyclamen lavender almond blossom ambrette (musk mallow) vetiver cedar precious woods vanilla tonka bean
jean-paul-gaultier,classique-pride-edition,yuzu blood orange neroli orange blossom musk white wood
navitus-parfums,oud-imperium,apple lavender lemon jasmine vanilla woody notes lily-of-the-valley agarwood (oud) amber tonka bean sandalwood cypriol oil or nagarmotha musk guaiac wood
franck-boclet,vetiver,bergamot lemon orange vetiver orange blossom lily-of-the-valley rose jasmine vetiver musk sandalwood cedar chive
ricardo-ramos-perfumes-de-autor,cristina-la-veneno-veneno-pa-tu-piel,tonic water gin berry fruits vinyl blood saffron turkish rose madagascar vanilla musk galbanum sandalwood
filippo-sorcinelli,quickie-and-coffee,coffee honey pine animal notes saffron marine notes jasmine musk ambrette amber
faberlic,orangerie-mimosa,mimosa red lily iris tonka bean
in-the-box,aventhis,bergamot pineapple apple black currant leaf birch patchouli red berries jasmine oakmoss musk amber vanilla
carolina-herrera,212-heroes-collector-edition,pear cannabis lemon zest ginger african geranium leather woodsy notes
bohoboco,wild-carrot-oud,carrot cinnamon bergamot agarwood (oud) dry wood cedar tobacco earthy notes leather styrax
dzintars,titaniks,watery notes bergamot grapefruit seaweed myrtle iris pine tree woody notes amber
aaron-terence-hughes,neroli,neroli jasmine sambac sandalwood
brocard,snow-palace,ozonic notes aquatic notes aldehydes white musk lily of the valley bergamot sandalwood amber
guerlain,neroli-outrenoir-2024,petitgrain bergamot lemon tangerine grapefruit tea neroli earthy notes orange blossom smoke benzoin vanilla ambrette (musk mallow) myrrh moss
il-profvmo,santal-rouge,bitter orange sandalwood carnation red berries clove brazilian rosewood
navitus-parfums,oud-luxuria,turkish rose saffron leather red berries orange cinnamon geranium rose jasmine osmanthus agarwood (oud) incense musk labdanum amber
diesel,diesel-green-feminine-special-edition,lime ginger cinnamon carnation orange blossom jasmine rose cedar sandalwood amber musk
house-of-sillage,whispers-of-temptation,black currant plum cardamom saffron rose petals night blooming jasmine suede agarwood (oud) australian sandalwood
zoologist-perfumes,dodo-edition-2020,rosemary petitgrain bergamot pink pepper black currant pineapple clary sage cardamom cumin basil lavender musk geranium oakmoss patchouli tonka bean oak
bi-es,oshi,freesia litchi peony pepper lily-of-the-valley magnolia violet root powdery notes cedar white musk
brocard,spring-bloom,citruses green notes watery notes mint peony apple rose lily-of-the-valley plum musk woody notes amber
ricardo-ramos-perfumes-de-autor,laaurora,bergamot cardamom violet turkish rose atlas cedar carnation olibanum gurjan balsam cashmere musk
pokrovka-trading-house,charming-snowdrop,freesia pepper snowdrops jasmine bulgarian rose incense sandalwood
navitus-parfums,desir-infini,italian lemon red fruits geranium saffron woodsy notes oud leather smoke amber
franck-boclet,cafe,coffee bergamot lemon lily rosemary orange blossom rose moss patchouli sandalwood vanilla amber cedar vetiver
paco-rabanne,1-million,blood orange grapefruit mint cinnamon spices rose leather amber white woods patchouli
brocard,erato,coriander lemon orange strawberry violet spun sugar raspberry vanilla musk sandalwood palisander rosewood tolu balsam amber
dior,new-look-2024,aldehydes frankincense amber
ricardo-ramos-perfumes-de-autor,morayma,fig leaf guava coriander grapefruit gardenia jasmine magnolia chamomile narcissus musk hay orris root
franck-boclet,flowers,basil lime bergamot lily-of-the-valley neroli tuberose rose ylang-ylang musk sandalwood
filippo-sorcinelli,popper-pop,sweet almond red apple mint nashi pear orchid magnolia davana pitosporum woody notes
dilis-parfum,kaorishiro,lemon verbena jasmine hyacinth musk lemon galbanum cedar moss
brocard,lesnaa-malina-i-dusica-wild-raspberries-and-oregano,raspberry watery notes wild strawberry rose hip violet caramel musk oakmoss
faberlic,collection-privee-brise-d-amour,neroli rose hip pineapple green apple jasmine galbanum freesia iris lily lily-of-the-valley rose musk amber vanilla apricot
laura-biagiotti,roma-eau-de-toilette-rosa,wild berries bergamot rose jasmine peony neroli vanilla musk sandalwood
molinard,campus,pineapple apple lemon geranium lavender sandalwood patchouli amberwood musk
miguel-matos,veneno,narcissus cypriol oil or nagarmotha saffron osmanthus cade oil civet patchouli lily-of-the-valley amber rose peru balsam costus musk ambrette (musk mallow) oakmoss tonka bean
filippo-sorcinelli,slightly-b-tch,leather clementine mint bitter orange green almond ylang-ylang artemisia hawthorn labdanum cedar pine tree
faberlic,souvenir,freesia raspberry litchi lily-of-the-valley lily jasmine ylang-ylang rose peony patchouli white musk
avon,love-pulse,carambola (star fruit) rose musk cedar
o-boticario,egeo-on-you,mint eucalyptus cardamom pineapple bergamot peach melon fenugreek woody notes sage green leaves lavender galbanum milk vetiver benzoin sandalwood amber musk
faberlic,uviolet,green leaves pink grapefruit flowers magnolia orchid blackberry white wood amber vanilla
mandarina-duck,scarlet-rain,blood orange red currant cyclamen orchid rose benzoin amber musk
alexandre-j,western-leather-white,apple rhubarb red berries pineapple pear black currant freesia rose jasmine white musk violet amberwood moss
disney,little-mermaid,jasmine sambac tuberose almond
fragrance-du-bois,wild-orange,orange mandarin orange lemon bergamot orange blossom lily of the valley cypress sandal cedar patchouli vetiver
we-pink,vf-virginia-fonseca-honey,blood orange peach cardamom rum cognac jasmine vanilla patchouli sandalwood
caron,muguet-du-bonheur-2021,watermelon lime nashi pear bergamot italian mandarin lily-of-the-valley turkish rose rose patchouli moss virginian cedar
trump,success,juniper coriander red currant bamboo ginger geranium birch vetiver musk tonka bean
haute-fragrance-company-hfc,chic-blossom,indian jasmine italian lemon italian mandarin jasmine sambac amber musk benzoin tobacco
frederic-malle,synthetic-nature,black currant lily of the valley basil jasmine hyacinth ylang ylang patchouli
karl-lagerfeld,lagerfeld-femme,rhubarb green mandarin elemi resin narcissus lily cedar musk cherry
arabesque-perfumes,pearl,green apple guava sweet notes tonka bean peach orange white musk white flowers vanilla
vivamor-parfums,sweet-sin,peach dried apricot rum benzoin tonka bean indonesian patchouli leaf madagascar vanilla white musk
hermes,tutti-twilly-d-hermes,litchi ginger flower musk
bi-es,sankai-black,lemon orange leaf pineapple lavender geranium clary sage lily-of-the-valley rose musk sandalwood cedar
the-dua-brand,forest-oud,pine needles grass palisander rosewood amber agarwood (oud)
j-scent,wood-flake,hinoki wood cedar vetiver rose guaiac wood vanilla musk sandalwood
oriflame,glacier-athletic,orange lemon sea water bergamot artemisia cardamom sandalwood guaiac wood amber tonka bean
bi-es,fiori-di-luna,mandarin orange grapefruit orange peach woody notes musk
brocard,svetskaya-lvitsa,green apple black currant plum rose freesia lily-of-the-valley musk cedar sandalwood
avon,sunshine-kiss,carambola (star fruit) frangipani musk
abercrombie-fitch,away-weekend-man,bergamot apple cardamom clementine lavender clary sage cypress rosemary atlas cedar patchouli cacao
aftelier,sepia,mandarin orange grapefruit cedar jasmine big strawberry coffee cacao lotus ambergris white tobacco boletus edulis indole agarwood (oud) labdanum
ellis-brooklyn,rives,neroli petitgrain lavender orange blossom cashmere wood white suede
avon,celebre-ice,grapefruit green notes bergamot violet leaf rose freesia peach musk woody notes vanilla
alyssa-ashley,purple-elixir,star anise jasmine solar notes aldehydes jasmine orange blossom heliotrope cashmere wood amber musk vetiver
jean-paul-gaultier,gaultier-divine-le-parfum,solar notes lily frangipani sea salt amber benzoin
faberlic,eye-to-eye-vlublena,cinnamon apple pineapple toffee caramel vanilla peach jasmine violet tonka bean
ricardo-ramos-perfumes-de-autor,shisha-lounge,anise red fruits hazelnut neroli tobacco labdanum oakmoss patchouli amber madagascar vanilla tonka bean musk
